iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
1,617412,26,26,0
2,618350,26,26,0
3,633372,26,26,0
4,646257,26,26,0
5,646627,26,26,0
6,647868,26,26,0
7,655726,26,26,0
8,664145,26,26,0
9,664990,26,26,0
10,665288,26,26,0
11,665291,26,26,0
12,666221,26,26,0
13,670990,26,26,0
14,673389,26,26,0
15,679721,26,26,0
16,684457,26,26,0
17,690001,26,26,0
18,693661,26,26,0
19,694777,26,26,0
20,697288,26,26,0
21,700125,26,26,0
22,703729,26,26,0
23,705465,26,26,0
24,714681,26,26,0
25,722046,26,26,0
26,722055,26,26,0
27,725159,26,26,0
28,727311,26,26,0
29,732870,26,26,0
30,738654,26,26,0
31,750638,26,26,0
32,753857,26,26,0
33,761980,26,27,0
34,763626,26,27,0
35,766391,26,27,0
36,767311,26,27,0
37,768301,26,28,0
38,772460,26,29,0
39,790488,27,30,0
40,826159,28,30,0
41,838792,28,31,0
42,840903,29,32,0
43,855695,29,32,1
44,864320,30,32,1
45,866159,30,32,1
46,866723,30,32,1
47,869672,30,32,1
48,874776,31,34,1
49,877421,31,34,1
50,895337,31,34,1
51,899553,31,34,1
52,900501,31,34,1
53,902652,31,34,1
54,907316,32,34,1
55,908725,32,37,1
56,912260,32,42,1
57,915350,32,42,1
58,915705,32,42,1
59,916783,32,42,1
60,917320,32,42,1
61,917885,32,42,1
62,919713,33,42,1
63,927244,33,42,1
64,930345,33,42,1
65,942666,33,42,1
66,946575,33,42,1
67,947876,34,42,1
68,968210,34,42,1
69,975179,34,42,1
70,989426,35,42,2
71,992515,37,42,2
72,999623,42,42,2
73,1001471,42,42,2
74,1026719,42,42,2
75,1029087,42,42,2
76,1030337,42,42,2
77,1046340,42,42,2
78,1052028,42,42,2
79,1058718,42,42,2
80,1071402,42,42,2
81,1104460,42,51,2
82,1123856,42,52,2
83,1128774,42,54,2
84,1133500,42,54,2
85,1134763,42,54,2
86,1154746,42,54,2
87,1213807,42,54,2
88,1279482,42,54,2
89,1319638,42,54,2
90,1376773,42,54,2
91,1411207,42,54,2
92,1426039,42,58,2
93,1463100,42,58,2
94,1585012,42,65,2
95,1646207,42,73,2
96,1820586,42,82,2
97,2044307,42,93,2
98,2340693,47,95,2
99,2482755,57,97,3
100,3908141,62,104,3

# SUMMARY
# seccomp_setup: min=617412 max=3908141 mean=978063.1 median=897445.0 stddev=445716.9 p95=1820586.0 p99=3908141.0
# syscall_seccomp: min=26 max=62 mean=32.9 median=31.0 stddev=7.6 p95=42.0 p99=62.0
# syscall_baseline: min=26 max=104 mean=39.2 median=34.0 stddev=16.6 p95=82.0 p99=104.0
