iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
1,511665,25,25,0
2,519657,25,25,0
3,540775,25,25,0
4,546907,25,25,0
5,560685,25,26,0
6,562703,25,26,0
7,563647,25,26,0
8,567013,25,26,0
9,567684,25,26,0
10,576404,25,26,0
11,576897,25,26,0
12,577606,25,26,0
13,581746,25,26,0
14,590230,25,26,0
15,594052,25,26,0
16,594694,25,26,0
17,596791,25,26,0
18,599285,25,26,0
19,601807,25,26,0
20,605627,25,26,0
21,606317,25,26,0
22,606537,25,26,0
23,610221,25,26,0
24,616990,25,26,0
25,620842,25,26,0
26,621614,25,26,0
27,625094,25,26,0
28,626490,25,26,0
29,627346,25,26,0
30,628576,25,26,0
31,630740,25,26,0
32,631627,25,26,0
33,631831,25,26,0
34,631985,25,26,0
35,632065,25,26,0
36,633360,25,26,0
37,635239,25,26,0
38,635556,25,26,0
39,636462,25,26,0
40,636912,25,26,0
41,640146,25,26,0
42,640186,25,26,0
43,643815,25,26,0
44,646225,25,26,0
45,647246,25,26,0
46,651156,25,26,0
47,651742,25,26,0
48,652022,25,26,0
49,652684,25,26,0
50,655049,25,26,0
51,656407,25,26,0
52,659137,25,26,0
53,660911,25,26,0
54,661268,25,26,0
55,661748,25,26,0
56,661798,25,26,0
57,662312,25,26,0
58,662967,25,26,0
59,663037,25,26,0
60,663375,25,26,0
61,663638,25,26,0
62,664694,25,26,0
63,664751,25,26,0
64,665319,25,26,0
65,665621,25,26,0
66,665889,25,26,0
67,666220,25,26,0
68,667450,25,26,0
69,667478,25,26,0
70,667652,25,26,0
71,668152,25,26,0
72,669379,25,26,0
73,669462,26,26,0
74,671876,26,26,0
75,673240,26,26,0
76,673736,26,26,0
77,675197,26,26,0
78,675735,26,26,0
79,675784,26,26,0
80,676503,26,26,0
81,677802,26,26,0
82,679355,26,26,0
83,681332,26,26,0
84,681454,26,26,0
85,682139,26,26,0
86,683162,26,26,0
87,683718,26,26,0
88,684653,26,26,0
89,685332,26,26,0
90,686219,26,26,0
91,686433,26,26,0
92,686538,26,26,0
93,688043,26,26,0
94,688685,26,26,0
95,689084,26,26,0
96,689970,26,26,0
97,691177,26,26,0
98,691483,26,26,0
99,691684,26,26,0
100,692536,26,26,0
101,693051,26,26,0
102,693115,26,26,0
103,693576,26,26,0
104,693845,26,26,0
105,693979,26,26,0
106,695169,26,26,0
107,695984,26,26,0
108,696054,26,26,0
109,696625,26,26,0
110,697249,26,26,0
111,697361,26,26,0
112,697586,26,26,0
113,698727,26,26,0
114,699063,26,26,0
115,699334,26,26,0
116,699425,26,26,0
117,700680,26,26,0
118,701934,26,26,0
119,702531,26,26,0
120,702671,26,26,0
121,702705,26,26,0
122,704670,26,26,0
123,704969,26,26,0
124,705150,26,26,0
125,706695,26,26,0
126,707128,26,26,0
127,707231,26,26,0
128,708190,26,26,0
129,709466,26,26,0
130,709859,26,26,0
131,710862,26,26,0
132,711576,26,26,0
133,714007,26,26,0
134,715153,26,26,0
135,715371,26,26,0
136,715441,26,26,0
137,716388,26,26,0
138,716447,26,26,0
139,716949,26,26,0
140,717110,26,26,0
141,717289,26,27,0
142,717682,26,27,0
143,719335,26,27,0
144,720162,26,27,0
145,722755,26,27,0
146,722849,26,27,0
147,723511,26,27,0
148,723667,26,27,0
149,723866,26,27,0
150,723915,26,27,0
151,724853,26,27,0
152,725351,26,27,0
153,725633,26,27,0
154,726094,26,27,0
155,726295,27,27,0
156,726897,27,27,0
157,727919,27,27,0
158,727936,27,27,0
159,728727,27,27,0
160,729363,27,27,0
161,729952,27,27,0
162,730369,27,27,0
163,731594,27,27,0
164,736213,27,27,0
