iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
1,586805,25,26,0
2,591714,25,26,0
3,593371,26,26,0
4,600760,26,26,0
5,602693,26,26,0
6,603049,26,26,0
7,603679,26,27,0
8,605286,26,27,0
9,607066,26,27,0
10,607270,26,27,0
11,607330,26,27,0
12,611081,26,27,0
13,616346,26,27,0
14,616391,26,27,0
15,622604,26,27,0
16,622649,26,27,0
17,625142,26,27,0
18,627465,26,27,0
19,630795,26,27,0
20,632801,26,27,0
21,634078,26,27,0
22,636082,26,27,0
23,636738,26,27,0
24,637792,26,27,0
25,638097,26,27,0
26,641770,26,27,0
27,642469,26,27,0
28,642665,27,27,0
29,643442,27,27,0
30,646286,27,27,0
31,646416,27,27,0
32,647397,27,27,0
33,649437,27,27,0
34,650406,27,27,0
35,650885,27,27,0
36,650928,27,27,0
37,651822,27,27,0
38,654083,27,27,0
39,654095,27,27,0
40,657955,27,27,0
41,657998,27,27,0
42,658925,27,27,0
43,659285,27,27,0
44,660476,27,27,0
45,661088,27,27,0
46,662106,27,27,0
47,662650,27,27,0
48,663039,27,27,0
49,663235,27,27,0
50,663405,27,27,0
51,663995,27,27,0
52,664077,27,27,0
53,664883,27,27,0
54,665526,27,27,0
55,665973,27,27,0
56,666467,27,27,0
57,666613,27,27,0
58,667187,27,27,0
59,667295,27,27,0
60,667843,27,27,0
61,667929,27,27,0
62,667990,27,27,0
63,669227,27,27,0
64,669234,27,27,0
65,669370,27,27,0
66,669550,27,27,0
67,670016,27,27,0
68,670445,27,27,0
69,670868,27,27,0
70,671379,27,27,0
71,672064,27,27,0
72,672107,27,27,0
73,673121,27,27,0
74,673568,27,27,0
75,673713,27,27,0
76,673891,27,27,0
77,674405,27,27,0
78,674893,27,27,0
79,676144,27,27,0
80,677294,27,27,0
81,677342,27,27,0
82,677347,27,27,0
83,678814,27,27,0
84,681093,27,27,0
85,681673,27,27,0
86,681909,27,27,0
87,682711,27,27,0
88,683013,27,27,0
89,684148,27,27,0
90,686801,27,27,0
91,688427,27,27,0
92,689338,27,27,0
93,690466,27,27,0
94,692442,27,27,0
95,692656,27,27,0
96,693080,27,27,0
97,694651,27,27,0
98,696113,27,27,0
99,696575,27,27,0
100,696583,27,27,0
101,697127,27,27,0
102,697263,27,27,0
103,697953,27,27,0
104,698076,27,27,0
105,698148,27,27,0
106,699037,27,27,0
107,699398,27,27,0
108,699684,27,27,0
109,699923,27,27,0
110,699950,27,27,0
111,700048,27,27,0
112,700283,27,27,0
113,700405,27,27,0
114,701254,27,27,0
115,701863,27,27,0
116,701942,27,27,0
117,701988,27,27,0
118,702032,27,27,0
119,702092,27,27,0
120,702412,27,27,0
121,702430,27,27,0
122,702582,27,27,0
123,703484,27,27,0
124,703649,27,27,0
125,704073,27,27,0
126,704610,27,27,0
127,705223,27,27,0
128,706066,27,27,0
129,706191,27,27,0
130,706476,27,27,0
131,707183,27,27,0
132,707373,27,27,0
133,707465,27,27,0
134,707487,27,27,0
135,708480,27,27,0
136,708560,27,27,0
137,709658,27,27,0
138,709684,27,27,0
139,710207,27,27,0
140,710323,27,27,0
141,711976,27,27,0
142,712578,27,27,0
143,712785,27,27,0
144,713207,27,27,0
145,714240,27,27,0
146,714767,27,27,0
147,714839,27,27,0
148,715467,27,27,0
149,715496,27,27,0
150,716010,27,27,0
151,716542,27,27,0
152,717661,27,27,0
153,718367,27,27,0
154,718764,27,27,0
155,719928,27,27,0
156,720092,27,27,0
157,721627,27,27,0
158,722163,27,27,0
159,723741,27,27,0
160,723929,27,27,0
161,724136,27,27,0
162,724785,27,27,0
